Ticket created - Month,Customer,Product Name,Application,Incident Type,Ticket Type,Ticket Category,Incident Description,Incident Severity,Resolution Steps,Resolved by
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Want to register new cashier,Severity 4,"1. Wants to register new cashier account
2. Divya checked in SSP and created new cashier account
3. Email with password was sent to customer and confirmation was given to the team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,Want to update branch for the CS,Severity 4,"1. CS branch update request was raised
2. Dhivya checked in SSP and edited the branch
3. Confirmation was given to team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,Request for CS branch to be updated,Severity 4,"1. Request to update branch for the CS
2. Dhivya checked in SSP and updated the branch
3. Confirmation given to team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,Request to update CS branch,Severity 4,"1. Request given for updating the branch of the CS
2. Divya checked SSP and the current branch was updated
3. Confirmation was given to the team",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,New cashier registration request,Severity 4,"1. Request to register new cashier was raised
2. Divya checked in SSP and cashier already registered
3. Confirmation was given to the team",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,New cashier registration to be created,Severity 4,"1. New cashier registration request was created
2. Divya checked SSP and the cashier account already registered
3.  Confirmation was given to the team",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,To register for new cashier,Severity 4,"1. New cashier registration request was raised
2. Divya checked the SSP and created new cashier account
3. Confirmation given to team",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Wants to create new cashier registration,Severity 4,"1. Request for new cashier registration was raised
2. Divya checked in SSP and created new cashier account
3. Mail was sent to the user with password and confirmation was given to the team",L1
July,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,New cashier registration requested,Severity 4,"1. New cashier account registration requested 
2. Divya checked in SSP and new cashier account created
3. Mail sent to user with password and confirmation given to team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,Request to delete resigned users,Severity 4,"1. Request was raised for deletion of resigned user
2. Divya checked in SSP and updated the details
3. Confirmation was given to team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,Request to delete the resigned the user,Severity 4,"1. Request was raised for deletion of resigned user
2. Divya checked in SSP and updated the details
3. Confirmation was given to team",L1
July,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request for user registration,User Wants to get registered,Severity 4,"1. User wants to get registered
2. Divya checked in the SSP
3.  Asked user to contact admin manager for registration",L1
July,Wheeltek,Fintech - AIDC,Web Application,Onboarding,Request,Request for user registration,Request to register new cashier,Severity 4,"1. Request to register new cashier was raised
2. Dhivya checked in SSP and new cashier account was created
3. Email sent to the user with password and confirmation given to the team",L1
